Country,Land area,1990,
,,Total,% Cover
Afghanistan,65286.7,1208,1.85
 Albania,2739.8,789,28.8
 Algeria,238174.1,1667,0.7
 American Samoa,19.9,18,90.45
 Andorra,46.8,16,34.19
 Angola,124670,79263,63.58
 Antigua and Barbuda,44.3,10,22.57
 Argentina,273669,35204,12.86
 Armenia,2834.2,335,11.82
 Australia,763356.5,133882,17.54
 Austria,8244.5,3776,45.8
 Azerbaijan,8610,945,10.98
 Bahamas,1001,510,50.95
 Bangladesh,13420.8,1920,14.31
 Barbados,43.1,6,13.92
 Belarus,20290,7780,38.34
 Belgium,3027.8,677,22.36
 Belize,2280.6,1600,70.16
 Benin,11430.5,4835,42.3
 Bermuda,5.4,1,18.52
 Bhutan,3839.4,2507,65.3
 Bolivia,108330.1,57805,53.36
 Bosnia and Herzegovina,5118.7,2210,43.18
 Botswana,56673,18804,33.18
 Brazil,846041.5,588898,69.61
 British Virgin Islands,15.1,4,26.49
 Brunei,526.5,413,78.44
 Bulgaria,10861.2,3327,30.63
 Burkina Faso,27360.2,7717,28.21
 Burundi,2568,276,10.75
 Cambodia,17651.5,11005,62.35
 Cameroon,47271,22500,47.6
 Canada,909350.7,348273,38.3
 Cape Verde,403.3,15,3.72
 Cayman Islands,26.4,13,49.24
 Central African Republic,62298.4,23203,37.24
 Chad,125920,6730,5.34
 Chile,74381.2,15246,20.5
 China,932641,157141,16.85
 Colombia,103870,64958,62.54
 Comoros,186.2,46,24.7
 Cook Islands,23.6,15,63.56
 Costa Rica,5106,2907,56.93
 Croatia,5597.4,1850,33.05
 Cuba,10988.4,2058,18.73
 Cyprus,924.1,161,17.42
 Czech Republic,7719.9,2629,34.05
 Democratic Republic of the Congo,226704.8,150629,66.44
 Denmark,4243.4,531,12.51
 Djibouti,2318,6,0.26
 Dominica,75.1,50,66.58
 Dominican Republic,4832,1595,33.01
 East Timor,1491.9,963,64.55
 Ecuador,25636.9,14632,57.07
 Egypt,99545,44,0.04
 El Salvador,2072.1,719,34.7
 Equatorial Guinea,2805.1,2699,96.22
 Eritrea,12500,1150,9.2
 Estonia,4238.8,2206,52.04
 Eswatini,1720.4,461,26.8
 Ethiopia,100000,19259,19.26
