 Fiji,1827.4,940,51.44
 Finland,30381.6,21875,72
 France,55150,14436,26.18
 French Guiana,8353.4,8125,97.27
 French Polynesia,382.7,144,37.63
 Gabon,25766.7,23762,92.22
 Gambia,1000,415,41.5
 Georgia,6970,2752,39.48
 Germany,34867.2,11300,32.41
 Ghana,22753.3,9924,43.62
 Gibraltar,0.65,0,0
 Greece,13064.7,3299,25.25
 Grenada,34.4,18,52.33
 Guadeloupe,170.5,73,42.82
 Guam,54.9,24,43.72
 Guatemala,10715.9,4781,44.62
 Guinea,24571.7,7276,29.61
 Guinea-Bissau,2812,2233,79.41
 Guyana,19684.9,18602,94.5
 Haiti,2756,383,13.9
 Honduras,11189,6988,62.45
 Hungary,8960.8,1814,20.24
 Iceland,10025,17,0.17
 India,297319,63938,21.5
 Indonesia,181156.9,118545,65.44
 Iran,153159.5,9076,5.93
 Iraq,43736.7,804,1.84
Ireland,6888.3,462,6.71
 Isle of Man,57.2,3,5.24
 Israel,2033,132,6.49
 Italy,29414,7590,25.8
 Ivory Coast,31800.3,7851,24.69
 Jamaica,1083.1,521,48.1
 Japan,36454.6,24950,68.44
 Jordan,8880.2,98,1.1
 Kazakhstan,269970,3162,1.17
 Kenya,56914,3859,6.78
 Kiribati,81.1,1,1.23
 Kuwait,1781.8,3,0.17
 Kyrgyzstan,19180.1,1136,5.92
 Laos,23080,17843,77.31
 Latvia,6224.9,3173,50.97
 Lebanon,1023,140,13.69
 Lesotho,3035.5,35,1.15
 Liberia,9632,8525,88.51
 Libya,175954,217,0.12
 Liechtenstein,16,7,43.75
 Lithuania,6268,1945,31.03
 Luxembourg,258.6,86,33.26
 Madagascar,58154,13693,23.55
 Malawi,9408,3502,37.22
 Malaysia,32961.3,20619,62.56
 Maldives,29.8,1,3.36
 Mali,122019,13296,10.9
 Marshall Islands,18.1,9,49.72
 Martinique,112.8,48,42.55
 Mauritania,102552,476,0.46
 Mauritius,203,41,20.2
 Mayotte,37.4,19,50.8
 Mexico,194394.5,70592,36.31
 Micronesia,70.2,64,91.17
 Moldova,3289.1,325,9.88
 Monaco,0.2,0,0
 Mongolia,155355.6,14352,9.24
 Montenegro,1345.2,626,46.54
 Morocco,44630,5485,12.29
 Mozambique,78638,43378,55.16
 Myanmar,65350.8,39218,60.01
 Namibia,82329,8769,10.65
   Nepal,14368.6,5672,39.47
 Netherlands,3389.3,345,10.18
 New Caledonia,1827.5,831,45.47
 New Zealand,26244.3,9372,35.71
 Nicaragua,11999,6399,53.33
 Niger,126670,1945,1.54
 Nigeria,91076.8,26526,29.12
 Niue,26,19,73.08
 North Korea,12053.8,6551,54.35
 North Macedonia,2543.3,912,35.86
 Northern Mariana Islands,46.4,34,73.28
 Norway,36595.7,12132,33.15
 Oman,30950,3,0.01
 Pakistan,85669,4987,5.82
 Palau,45.9,38,82.79
 Panama,7434,4607,61.97
 Papua New Guinea,45286,36400,80.38
 Paraguay,39730.2,25546,64.3
 Peru,127999.6,76449,59.73
 Philippines,29817,7779,26.09
 Pitcairn Islands,4.7,4,85.11
 Poland,31188.8,8882,28.48
 Portugal,9111.9,3399,37.3
 Puerto Rico,887,320,36.08
 Qatar,1158.6,0,0
 Republic of the Congo,34150,22315,65.34
 Réunion,251.3,88,35.02
 Romania,23129.1,6371,27.55
 Russia,1637841,808950,49.39
 Rwanda,2466.8,317,12.85
 Saint Kitts and Nevis,26.1,11,42.15
 Saint Lucia,60.6,21,34.65
 Saint Martin,5.44,1,18.38
 Saint Pierre and Miquelon,24.2,2,8.26
 Saint Vincent and the Grenadines,38.9,28,71.98
 Samoa,282.1,176,62.39
 San Marino,6.1,1,16.39
 São Tomé and Príncipe,96.4,59,61.2
 Saudi Arabia,214969,977,0.45
 Senegal,19253,9303,48.32
 Serbia,8824.6,2313,26.21
 Seychelles,45.5,34,74.73
 Sierra Leone,7162,3127,43.66
 Singapore,71.6,15,20.95
 Slovakia,4810.5,1902,39.54
 Slovenia,2015.1,1188,58.95
 Solomon Islands,2798.6,2545,90.94
 Somalia,62733.7,8283,13.2
 South Africa,121447,18142,14.94
 South Korea,9990.9,6912,69.18
 South Sudan,64432.9,7157,11.11
 Spain,49898,13905,27.87
 Sri Lanka,6273.2,2350,37.46
 Sudan,173167.1,23570,13.61
 Suriname,15600,15378,98.58
 Sweden,41033.5,28063,68.39
  Switzerland,3999.7,1154,28.85
 Syria,18363,372,2.03
 Tajikistan,14151,408,2.88
 Tanzania,88580,57390,64.79
 Thailand,51089,19361,37.9
 Togo,5438.5,1362,25.04
 Tonga,71.7,9,12.55
 Trinidad and Tobago,512.8,242,47.19
 Tunisia,15536,644,4.15
 Turkey,76963.2,19783,25.7
 Turkmenistan,46993,4127,8.78
 Turks and Caicos Islands,94.8,11,11.6
 Tuvalu,2.6,1,38.46
 Uganda,19710,3575,18.14
 Ukraine,57930,9274,16.01
 United Arab Emirates,8360,245,2.93
 United Kingdom,24193,2778,11.48
 United States,914759.3,302450,33.06
 United States Virgin Islands,34.7,25,72.05
 Uruguay,17501.5,798,4.56
 Uzbekistan,42540,2549,5.99
 Vanuatu,1218.9,442,36.26
 Venezuela,88205,52026,58.98
 Vietnam,31007,9376,30.24
 Wallis and Futuna Islands,14.2,6,42.25
 Western Sahara,26600,665,2.5
 Yemen,55500,549,0.99
 Zambia,74339.8,47412,63.78
 Zimbabwe,38684.7,18827,48.67
