Country,Land area,2010,
,,Total,% Cover
Afghanistan,65286.7,1208,1.85
 Albania,2739.8,782,28.54
 Algeria,238174.1,1918,0.81
 American Samoa,19.9,17,85.43
 Andorra,46.8,16,34.19
 Angola,124670,72158,57.88
 Antigua and Barbuda,44.3,9,20.32
 Argentina,273669,30214,11.04
 Armenia,2834.2,331,11.68
 Australia,763356.5,129546,16.97
 Austria,8244.5,3863,46.86
 Azerbaijan,8610,1032,11.99
 Bahamas,1001,510,50.95
 Bangladesh,13420.8,1888,14.07
 Barbados,43.1,6,13.92
 Belarus,20290,8630,42.53
 Belgium,3027.8,690,22.79
 Belize,2280.6,1391,60.99
 Benin,11430.5,3635,31.8
 Bermuda,5.4,1,18.52
 Bhutan,3839.4,2705,70.45
 Bolivia,108330.1,53086,49
 Bosnia and Herzegovina,5118.7,2103,41.08
 Botswana,56673,16438,29
 Brazil,846041.5,511581,60.47
 British Virgin Islands,15.1,4,26.49
 Brunei,526.5,380,72.17
 Bulgaria,10861.2,3737,34.41
 Burkina Faso,27360.2,6717,24.55
 Burundi,2568,194,7.55
 Cambodia,17651.5,10589,59.99
 Cameroon,47271,20900,44.21
 Canada,909350.7,347322,38.19
 Cape Verde,403.3,43,10.66
 Cayman Islands,26.4,13,49.24
 Central African Republic,62298.4,22603,36.28
 Chad,125920,5530,4.39
 Chile,74381.2,16725,22.49
 China,932641,200610,21.51
 Colombia,103870,60808,58.54
 Comoros,186.2,37,19.87
 Cook Islands,23.6,16,67.8
 Costa Rica,5106,2871,56.23
 Croatia,5597.4,1920,34.3
 Cuba,10988.4,2932,26.68
 Cyprus,924.1,173,18.72
 Czech Republic,7719.9,2657,34.42
 Democratic Republic of the Congo,226704.8,137169,60.51
 Denmark,4243.4,586,13.81
 Djibouti,2318,6,0.26
 Dominica,75.1,48,63.91
 Dominican Republic,4832,2073,42.9
 East Timor,1491.9,935,62.67
 Ecuador,25636.9,13028,50.82
 Egypt,99545,66,0.07
 El Salvador,2072.1,629,30.36
 Equatorial Guinea,2805.1,2532,90.26
 Eritrea,12500,1087,8.7
 Estonia,4238.8,2336,55.11
 Eswatini,1720.4,485,28.19
 Ethiopia,100000,17799,17.8
 Fiji,1827.4,1073,58.72
 Finland,30381.6,22242,73.21
 France,55150,16419,29.77
 French Guiana,8353.4,8037,96.21
 French Polynesia,382.7,149,38.93
 Gabon,25766.7,23649,91.78
 Gambia,1000,300,30
 Georgia,6970,2822,40.49
 Germany,34867.2,11409,32.72
 Ghana,22753.3,7943,34.91
 Gibraltar,0.65,0,0
 Greece,13064.7,3902,29.87
 Grenada,34.4,18,52.33
 Guadeloupe,170.5,72,42.23
 Guam,54.9,24,43.72
 Guatemala,10715.9,3723,34.74
 Guinea,24571.7,6569,26.73
 Guinea-Bissau,2812,2064,73.4
 Guyana,19684.9,18520,94.08
 Haiti,2756,378,13.72
 Honduras,11189,6575,58.76
 Hungary,8960.8,2046,22.83
 Iceland,10025,45,0.45
 India,297319,69496,23.37
 Indonesia,181156.9,99659,55.01
 Iran,153159.5,10692,6.98
 Iraq,43736.7,825,1.89
Ireland,6888.3,720,10.45
 Isle of Man,57.2,3,5.24
 Israel,2033,154,7.58
 Italy,29414,9028,30.69
 Ivory Coast,31800.3,3966,12.47
 Jamaica,1083.1,558,51.52
 Japan,36454.6,24966,68.49
 Jordan,8880.2,98,1.1
 Kazakhstan,269970,3082,1.14
 Kenya,56914,3616,6.35
 Kiribati,81.1,1,1.23
 Kuwait,1781.8,6,0.34
 Kyrgyzstan,19180.1,1230,6.41
 Laos,23080,16941,73.4
 Latvia,6224.9,3372,54.17
 Lebanon,1023,137,13.39
 Lesotho,3035.5,35,1.15
 Liberia,9632,7920,82.23
 Libya,175954,217,0.12
 Liechtenstein,16,7,43.75
 Lithuania,6268,2170,34.62
 Luxembourg,258.6,89,34.42
 Madagascar,58154,12562,21.6
 Malawi,9408,2662,28.3
 Malaysia,32961.3,18948,57.49
 Maldives,29.8,1,3.36
