 Mali,122019,13296,10.9
 Marshall Islands,18.1,9,49.72
 Martinique,112.8,50,44.33
 Mauritania,102552,367,0.36
 Mauritius,203,38,18.72
 Mayotte,37.4,14,37.43
 Mexico,194394.5,66943,34.44
 Micronesia,70.2,64,91.17
 Moldova,3289.1,375,11.4
 Monaco,0.2,0,0
 Mongolia,155355.6,14184,9.13
 Montenegro,1345.2,827,61.48
 Morocco,44630,5675,12.72
 Mozambique,78638,38972,49.56
 Myanmar,65350.8,31441,48.11
 Namibia,82329,7349,8.93
   Nepal,14368.6,5962,41.49
 Netherlands,3389.3,373,11.01
 New Caledonia,1827.5,839,45.91
 New Zealand,26244.3,9848,37.52
 Nicaragua,11999,4188,34.9
 Niger,126670,1204,0.95
 Nigeria,91076.8,23260,25.54
 Niue,26,19,73.08
 North Korea,12053.8,6387,52.99
 North Macedonia,2543.3,960,37.75
 Northern Mariana Islands,46.4,30,64.66
 Norway,36595.7,12102,33.07
 Oman,30950,3,0.01
 Pakistan,85669,4094,4.78
 Palau,45.9,41,89.32
 Panama,7434,4328,58.22
 Papua New Guinea,45286,36179,79.89
 Paraguay,39730.2,19570,49.26
 Peru,127999.6,74050,57.85
 Philippines,29817,6840,22.94
 Pitcairn Islands,4.7,4,85.11
 Poland,31188.8,9329,29.91
 Portugal,9111.9,3252,35.69
 Puerto Rico,887,491,55.36
 Qatar,1158.6,0,0
 Republic of the Congo,34150,22075,64.64
 Réunion,251.3,94,37.41
 Romania,23129.1,6515,28.17
 Russia,1637841,815136,49.77
 Rwanda,2466.8,265,10.74
 Saint Kitts and Nevis,26.1,11,42.15
 Saint Lucia,60.6,21,34.65
 Saint Martin,5.44,1,18.38
 Saint Pierre and Miquelon,24.2,1,4.13
 Saint Vincent and the Grenadines,38.9,29,74.55
 Samoa,282.1,166,58.84
 San Marino,6.1,1,16.39
 São Tomé and Príncipe,96.4,58,60.17
 Saudi Arabia,214969,977,0.45
 Senegal,19253,8468,43.98
 Serbia,8824.6,2713,30.74
 Seychelles,45.5,34,74.73
 Sierra Leone,7162,2732,38.15
 Singapore,71.6,18,25.14
 Slovakia,4810.5,1918,39.87
 Slovenia,2015.1,1247,61.88
 Solomon Islands,2798.6,2530,90.4
 Somalia,62733.7,6748,10.76
 South Africa,121447,17414,14.34
 South Korea,9990.9,6242,62.48
 South Sudan,64432.9,7157,11.11
 Spain,49898,18545,37.17
 Sri Lanka,6273.2,2104,33.54
 Sudan,173167.1,20081,11.6
 Suriname,15600,15300,98.08
 Sweden,41033.5,28073,68.41
  Switzerland,3999.7,1235,30.88
 Syria,18363,492,2.68
 Tajikistan,14151,410,2.9
 Tanzania,88580,49950,56.39
 Thailand,51089,20073,39.29
 Togo,5438.5,1239,22.78
 Tonga,71.7,9,12.55
 Trinidad and Tobago,512.8,232,45.24
 Tunisia,15536,687,4.42
 Turkey,76963.2,21083,27.39
 Turkmenistan,46993,4127,8.78
 Turks and Caicos Islands,94.8,11,11.6
 Tuvalu,2.6,1,38.46
 Uganda,19710,2750,13.95
 Ukraine,57930,9548,16.48
 United Arab Emirates,8360,317,3.79
 United Kingdom,24193,3059,12.64
 United States,914759.3,308720,33.75
 United States Virgin Islands,34.7,18,51.87
 Uruguay,17501.5,1731,9.89
 Uzbekistan,42540,3350,7.87
 Vanuatu,1218.9,442,36.26
 Venezuela,88205,47505,53.86
 Vietnam,31007,13388,43.18
 Wallis and Futuna Islands,14.2,6,42.25
 Western Sahara,26600,665,2.5
 Yemen,55500,549,0.99
 Zambia,74339.8,46696,62.81
 Zimbabwe,38684.7,17905,46.28
